date,water_level
1996-01-01,437
1996-01-02,397
1996-01-03,368
1996-01-04,354
1996-01-05,346
1996-01-06,328
1996-01-07,315
1996-01-08,302
1996-01-09,292
1996-01-10,289
1996-01-11,288
1996-01-12,285
1996-01-13,280
1996-01-14,275
1996-01-15,263
1996-01-16,260
1996-01-17,242
1996-01-18,234
1996-01-19,229
1996-01-20,222
1996-01-21,214
1996-01-22,205
1996-01-23,198
1996-01-24,190
1996-01-25,180
1996-01-26,172
1996-01-27,170
1996-01-28,162
1996-01-29,166
1996-01-30,159
1996-01-31,153
1996-02-01,148
1996-02-02,141
1996-02-03,137
1996-02-04,140
1996-02-05,140
1996-02-06,139
1996-02-07,135
1996-02-08,132
1996-02-09,129
1996-02-10,126
1996-02-11,127
1996-02-12,130
1996-02-13,134
1996-02-14,150
1996-02-15,210
1996-02-16,244
1996-02-17,219
1996-02-18,209
1996-02-19,247
1996-02-20,354
1996-02-21,422
1996-02-22,400
1996-02-23,345
1996-02-24,294
1996-02-25,248
1996-02-26,226
1996-02-27,213
1996-02-28,220
1996-02-29,236
1996-03-01,239
1996-03-02,235
1996-03-03,224
1996-03-04,220
1996-03-05,203
1996-03-06,190
1996-03-07,181
1996-03-08,169
1996-03-09,164
1996-03-10,169
1996-03-11,156
1996-03-12,151
1996-03-13,146
1996-03-14,140
1996-03-15,141
1996-03-16,137
1996-03-17,130
1996-03-18,129
1996-03-19,130
1996-03-20,134
1996-03-21,138
1996-03-22,149
1996-03-23,161
1996-03-24,179
1996-03-25,195
1996-03-26,245
1996-03-27,265
1996-03-28,265
1996-03-29,265
1996-03-30,267
1996-03-31,270
1996-04-01,255
1996-04-02,239
1996-04-03,222
1996-04-04,211
1996-04-05,203
1996-04-06,193
1996-04-07,193
1996-04-08,181
1996-04-09,174
1996-04-10,172
1996-04-11,171
1996-04-12,171
1996-04-13,173
1996-04-14,174
1996-04-15,180
1996-04-16,183
1996-04-17,186
1996-04-18,182
1996-04-19,172
1996-04-20,164
1996-04-21,157
1996-04-22,151
1996-04-23,151
1996-04-24,147
1996-04-25,149
1996-04-26,151
1996-04-27,156
1996-04-28,154
1996-04-29,151
1996-04-30,150
1996-05-01,149
1996-05-02,144
1996-05-03,159
1996-05-04,174
1996-05-05,183
1996-05-06,190
1996-05-07,183
1996-05-08,182
1996-05-09,179
1996-05-10,173
1996-05-11,180
1996-05-12,175
1996-05-13,173
1996-05-14,166
1996-05-15,165
1996-05-16,173
1996-05-17,212
1996-05-18,226
1996-05-19,217
1996-05-20,225
1996-05-21,244
1996-05-22,271
1996-05-23,287
1996-05-24,305
1996-05-25,296
1996-05-26,284
1996-05-27,272
1996-05-28,284
1996-05-29,317
1996-05-30,352
1996-05-31,381
1996-06-01,375
1996-06-02,349
1996-06-03,327
1996-06-04,319
1996-06-05,318
1996-06-06,312
1996-06-07,290
1996-06-08,278
1996-06-09,265
1996-06-10,255
1996-06-11,261
1996-06-12,268
1996-06-13,267
1996-06-14,256
1996-06-15,244
1996-06-16,232
1996-06-17,228
1996-06-18,219
1996-06-19,207
1996-06-20,199
1996-06-21,191
1996-06-22,196
1996-06-23,200
1996-06-24,198
1996-06-25,207
1996-06-26,223
1996-06-27,225
1996-06-28,217
1996-06-29,202
1996-06-30,201
1996-07-01,191
1996-07-02,192
1996-07-03,184
1996-07-04,178
1996-07-05,178
1996-07-06,183
1996-07-07,189
1996-07-08,200
1996-07-09,201
1996-07-10,219
1996-07-11,356
1996-07-12,427
1996-07-13,446
1996-07-14,427
1996-07-15,395
1996-07-16,363
1996-07-17,335
1996-07-18,313
1996-07-19,295
1996-07-20,281
1996-07-21,269
1996-07-22,257
1996-07-23,245
1996-07-24,225
1996-07-25,230
1996-07-26,231
1996-07-27,228
1996-07-28,218
1996-07-29,199
1996-07-30,191
1996-07-31,191
1996-08-01,207
1996-08-02,206
1996-08-03,195
1996-08-04,179
1996-08-05,167
1996-08-06,173
1996-08-07,195
1996-08-08,198
1996-08-09,195
1996-08-10,194
1996-08-11,196
1996-08-12,208
1996-08-13,214
1996-08-14,215
1996-08-15,236
1996-08-16,263
1996-08-17,262
1996-08-18,252
1996-08-19,232
1996-08-20,222
1996-08-21,206
1996-08-22,200
1996-08-23,208
1996-08-24,194
1996-08-25,189
1996-08-26,191
1996-08-27,185
1996-08-28,177
1996-08-29,186
1996-08-30,215
1996-08-31,227
1996-09-01,234
1996-09-02,221
1996-09-03,197
1996-09-04,184
1996-09-05,178
1996-09-06,176
1996-09-07,168
1996-09-08,162
1996-09-09,154
1996-09-10,155
1996-09-11,149
1996-09-12,142
1996-09-13,145
1996-09-14,145
1996-09-15,142
1996-09-16,146
1996-09-17,148
1996-09-18,151
1996-09-19,149
1996-09-20,141
1996-09-21,132
1996-09-22,128
1996-09-23,132
1996-09-24,136
1996-09-25,140
1996-09-26,136
1996-09-27,147
1996-09-28,162
1996-09-29,159
1996-09-30,159
1996-10-01,149
1996-10-02,156
1996-10-03,178
1996-10-04,186
1996-10-05,159
1996-10-06,154
1996-10-07,150
1996-10-08,148
1996-10-09,137
1996-10-10,133
1996-10-11,132
1996-10-12,129
1996-10-13,127
1996-10-14,120
1996-10-15,120
1996-10-16,122
1996-10-17,117
1996-10-18,129
1996-10-19,154
1996-10-20,206
1996-10-21,250
1996-10-22,257
1996-10-23,280
1996-10-24,293
1996-10-25,297
1996-10-26,277
1996-10-27,261
1996-10-28,245
1996-10-29,243
1996-10-30,243
1996-10-31,233
1996-11-01,240
1996-11-02,241
1996-11-03,258
1996-11-04,253
1996-11-05,245
1996-11-06,234
1996-11-07,226
1996-11-08,228
1996-11-09,250
1996-11-10,285
1996-11-11,337
1996-11-12,322
1996-11-13,302
1996-11-14,350
1996-11-15,424
1996-11-16,461
1996-11-17,448
1996-11-18,396
1996-11-19,360
1996-11-20,339
1996-11-21,351
1996-11-22,406
1996-11-23,454
1996-11-24,434
1996-11-25,387
1996-11-26,351
1996-11-27,329
1996-11-28,327
1996-11-29,349
1996-11-30,367
1996-12-01,365
1996-12-02,399
1996-12-03,453
1996-12-04,506
1996-12-05,523
1996-12-06,518
1996-12-07,483
1996-12-08,441
1996-12-09,406
1996-12-10,372
1996-12-11,347
1996-12-12,324
1996-12-13,312
1996-12-14,293
1996-12-15,289
1996-12-16,288
1996-12-17,293
1996-12-18,302
